model,metric,score,ci_lower,ci_upper,confidence_level,n_bootstrap,bootstrap_seed
efficientnet_b0,accuracy,0.951852,0.925926,0.977778,0.95,10000,42
efficientnet_b0,precision,0.956324,0.932061,0.978113,0.95,10000,42
efficientnet_b0,recall,0.951852,0.926483,0.975464,0.95,10000,42
efficientnet_b0,f1,0.951554,0.924086,0.975658,0.95,10000,42
resnet50,accuracy,0.796296,0.748148,0.844444,0.95,10000,42
resnet50,precision,0.694337,0.661274,0.725257,0.95,10000,42
resnet50,recall,0.796296,0.772431,0.816808,0.95,10000,42
resnet50,f1,0.732392,0.701833,0.758593,0.95,10000,42
densenet121,accuracy,0.988889,0.974074,1.000000,0.95,10000,42
densenet121,precision,0.989285,0.975943,1.000000,0.95,10000,42
densenet121,recall,0.988889,0.975000,1.000000,0.95,10000,42
densenet121,f1,0.988885,0.974647,1.000000,0.95,10000,42
mobilenet_v3_large,accuracy,0.992593,0.981481,1.000000,0.95,10000,42
mobilenet_v3_large,precision,0.992673,0.980792,1.000000,0.95,10000,42
mobilenet_v3_large,recall,0.992593,0.980688,1.000000,0.95,10000,42
mobilenet_v3_large,f1,0.992592,0.980604,1.000000,0.95,10000,42
